#ParcellationId,Label,Asymetry counterpart,Left or Right,White or Grey,Common Name
1016,ctx-lh-parahippocampal,3016,Left,Grey,left parahippocampal grey matter
1017,ctx-lh-paracentral,3017,Left,Grey,left paracentral grey matter
1018,ctx-lh-parsopercularis,3018,Left,Grey,left pars opercularis grey matter
1019,ctx-lh-parsorbitalis,3019,Left,Grey,left pars orbitalis grey matter
1020,ctx-lh-parstriangularis,3020,Left,Grey,left pars triangularis grey matter
1021,ctx-lh-pericalcarine,3021,Left,Grey,left pericalcarine grey matter
1022,ctx-lh-postcentral,3022,Left,Grey,left postcentral grey matter
1023,ctx-lh-posteriorcingulate,3023,Left,Grey,left posterior cingulate grey matter
1024,ctx-lh-precentral,3024,Left,Grey,left precentral grey matter
1025,ctx-lh-precuneus,3025,Left,Grey,left precuneus grey matter
1026,ctx-lh-rostralanteriorcingulate,3026,Left,Grey,left rostral anterior cingulate grey matter
1027,ctx-lh-rostralmiddlefrontal,3027,Left,Grey,left rostral middle frontal grey matter
1028,ctx-lh-superiorfrontal,3028,Left,Grey,left superior frontal grey matter
1029,ctx-lh-superiorparietal,3029,Left,Grey,left superior parietal grey matter
1030,ctx-lh-superiortemporal,3030,Left,Grey,left superior temporal grey matter
1031,ctx-lh-supramarginal,3031,Left,Grey,left supramarginal grey matter
1032,ctx-lh-frontalpole,3032,Left,Grey,left frontal pole grey matter
1033,ctx-lh-temporalpole,3033,Left,Grey,left temporal pole grey matter
1034,ctx-lh-transversetemporal,3034,Left,Grey,left transverse temporal grey matter
1035,ctx-lh-insula,3035,Left,Grey,left insula grey matter
2000,ctx-rh-unknown,,Right,Grey,right hemisphere unknown grey matter
2001,ctx-rh-bankssts,4001,Right,Grey,right banks of superior temporal sulcus grey matter
2002,ctx-rh-caudalanteriorcingulate,4002,Right,Grey,right caudal anterior cingulate grey matter
2003,ctx-rh-caudalmiddlefrontal,4003,Right,Grey,right caudal middle frontal grey matter
2005,ctx-rh-cuneus,4005,Right,Grey,right cuneus grey matter
2006,ctx-rh-entorhinal,4006,Right,Grey,right entorhinal grey matter
2007,ctx-rh-fusiform,4007,Right,Grey,right fusiform grey matter
2008,ctx-rh-inferiorparietal,4008,Right,Grey,right inferior parietal grey matter
2009,ctx-rh-inferiortemporal,4009,Right,Grey,right inferior temporal grey matter
2010,ctx-rh-isthmuscingulate,4010,Right,Grey,right isthmus cingulate grey matter
2011,ctx-rh-lateraloccipital,4011,Right,Grey,right lateral occipital grey matter
2012,ctx-rh-lateralorbitofrontal,4012,Right,Grey,right lateral orbitofrontal grey matter
2013,ctx-rh-lingual,4013,Right,Grey,right lingual grey matter
2014,ctx-rh-medialorbitofrontal,4014,Right,Grey,right medial orbitofrontal grey matter
2015,ctx-rh-middletemporal,4015,Right,Grey,right middle temporal grey matter
2016,ctx-rh-parahippocampal,4016,Right,Grey,right parahippocampal grey matter
2017,ctx-rh-paracentral,4017,Right,Grey,right paracentral grey matter
2018,ctx-rh-parsopercularis,4018,Right,Grey,right pars opercularis grey matter
2019,ctx-rh-parsorbitalis,4019,Right,Grey,right pars orbitalis grey matter
2020,ctx-rh-parstriangularis,4020,Right,Grey,right pars triangularis grey matter
2021,ctx-rh-pericalcarine,4021,Right,Grey,right pericalcarine grey matter
2022,ctx-rh-postcentral,4022,Right,Grey,right postcentral grey matter
2023,ctx-rh-posteriorcingulate,4023,Right,Grey,right posterior cingulate grey matter
2024,ctx-rh-precentral,4024,Right,Grey,right precentral grey matter
2025,ctx-rh-precuneus,4025,Right,Grey,right precuneus grey matter
2026,ctx-rh-rostralanteriorcingulate,4026,Right,Grey,right rostral anterior cingulate grey matter
2027,ctx-rh-rostralmiddlefrontal,4027,Right,Grey,right rostral middle frontal grey matter
2028,ctx-rh-superiorfrontal,4028,Right,Grey,right superior frontal grey matter
2029,ctx-rh-superiorparietal,4029,Right,Grey,right superior parietal grey matter
2030,ctx-rh-superiortemporal,4030,Right,Grey,right superior temporal grey matter
2031,ctx-rh-supramarginal,4031,Right,Grey,right supramarginal grey matter
2032,ctx-rh-frontalpole,4032,Right,Grey,right frontal pole grey matter
2033,ctx-rh-temporalpole,4033,Right,Grey,right temporal pole grey matter
2034,ctx-rh-transversetemporal,4034,Right,Grey,right transverse temporal grey matter
2035,ctx-rh-insula,4035,Right,Grey,right insula grey matter
3001,wm-lh-bankssts,1001,Left,White,left banks of superior temporal sulcus white matter
3002,wm-lh-caudalanteriorcingulate,1002,Left,White,left caudal anterior cingulate white matter
3003,wm-lh-caudalmiddlefrontal,1003,Left,White,left caudal middle frontal white matter
3005,wm-lh-cuneus,1005,Left,White,left cuneus white matter
3006,wm-lh-entorhinal,1006,Left,White,left entorhinal white matter
3007,wm-lh-fusiform,1007,Left,White,left fusiform white matter
3008,wm-lh-inferiorparietal,1008,Left,White,left inferior parietal white matter
3009,wm-lh-inferiortemporal,1009,Left,White,left inferior temporal white matter
3010,wm-lh-isthmuscingulate,1010,Left,White,left isthmus cingulate white matter
3011,wm-lh-lateraloccipital,1011,Left,White,left lateral occipital white matter
3012,wm-lh-lateralorbitofrontal,1012,Left,White,left lateral orbitofrontal white matter
3013,wm-lh-lingual,1013,Left,White,left lingual white matter
3014,wm-lh-medialorbitofrontal,1014,Left,White,left medial orbitofrontal white matter
3015,wm-lh-middletemporal,1015,Left,White,left middle temporal white matter
3016,wm-lh-parahippocampal,1016,Left,White,left parahippocampal white matter
3017,wm-lh-paracentral,1017,Left,White,left paracentral white matter
3018,wm-lh-parsopercularis,1018,Left,White,left pars opercularis white matter
3019,wm-lh-parsorbitalis,1019,Left,White,left pars orbitalis white matter
3020,wm-lh-parstriangularis,1020,Left,White,left pars triangularis white matter
3021,wm-lh-pericalcarine,1021,Left,White,left pericalcarine white matter
3022,wm-lh-postcentral,1022,Left,White,left postcentral white matter
3023,wm-lh-posteriorcingulate,1023,Left,White,left posterior cingulate white matter
3024,wm-lh-precentral,1024,Left,White,left precentral white matter
3025,wm-lh-precuneus,1025,Left,White,left precuneus white matter
3026,wm-lh-rostralanteriorcingulate,1026,Left,White,left rostral anterior cingulate white matter
3027,wm-lh-rostralmiddlefrontal,1027,Left,White,left rostral middle frontal white matter
3028,wm-lh-superiorfrontal,1028,Left,White,left superior frontal white matter
3029,wm-lh-superiorparietal,1029,Left,White,left superior parietal white matter
3030,wm-lh-superiortemporal,1030,Left,White,left suprior temporal white matter
3031,wm-lh-supramarginal,1031,Left,White,left supramarginal white matter
3032,wm-lh-frontalpole,1032,Left,White,left frontal pole white matter
3033,wm-lh-temporalpole,1033,Left,White,left temporal pole white matter
3034,wm-lh-transversetemporal,1034,Left,White,left transverse temporal white matter
3035,wm-lh-insula,1035,Left,White,left insula white matter
4001,wm-rh-bankssts,2001,Right,White,right banks of superior temporal sulcus white matter
4002,wm-rh-caudalanteriorcingulate,2002,Right,White,right caudal anterior cingulate white matter
4003,wm-rh-caudalmiddlefrontal,2003,Right,White,right caudal middle frontal white matter
4005,wm-rh-cuneus,2005,Right,White,right cuneus white matter
4006,wm-rh-entorhinal,2006,Right,White,right entorhinal white matter
4007,wm-rh-fusiform,2007,Right,White,right fusiform white matter
4008,wm-rh-inferiorparietal,2008,Right,White,right inferior parietal white matter
4009,wm-rh-inferiortemporal,2009,Right,White,right inferior temporal white matter
4010,wm-rh-isthmuscingulate,2010,Right,White,right isthmus cingulate white matter
4011,wm-rh-lateraloccipital,2011,Right,White,right lateral occipital white matter
4012,wm-rh-lateralorbitofrontal,2012,Right,White,right lateral orbitofrontal white matter
4013,wm-rh-lingual,2013,Right,White,right lingual white matter
4014,wm-rh-medialorbitofrontal,2014,Right,White,right meidal orbitofrontal white matter
4015,wm-rh-middletemporal,2015,Right,White,right middle temporal white matter
4016,wm-rh-parahippocampal,2016,Right,White,right parahippocampal white matter
4017,wm-rh-paracentral,2017,Right,White,right paracentral white matter
4018,wm-rh-parsopercularis,2018,Right,White,right pars opercularis white matter
4019,wm-rh-parsorbitalis,2019,Right,White,right pars orbitalis white matter
4020,wm-rh-parstriangularis,2020,Right,White,right pars triangularis white matter
4021,wm-rh-pericalcarine,2021,Right,White,right pericalcarine white matter
4022,wm-rh-postcentral,2022,Right,White,right postcentral white matter
4023,wm-rh-posteriorcingulate,2023,Right,White,right posterior cingulate white matter
4024,wm-rh-precentral,2024,Right,White,right precentral white matter
4025,wm-rh-precuneus,2025,Right,White,right precuneus white matter
4026,wm-rh-rostralanteriorcingulate,2026,Right,White,right rostral anterior cingulate white matter
4027,wm-rh-rostralmiddlefrontal,2027,Right,White,right rostral middle frontal white matter
4028,wm-rh-superiorfrontal,2028,Right,White,right superior frontal white matter
4029,wm-rh-superiorparietal,2029,Right,White,right superior parietal white matter
4030,wm-rh-superiortemporal,2030,Right,White,right suprior temporal white matter
4031,wm-rh-supramarginal,2031,Right,White,right supramarginal white matter
4032,wm-rh-frontalpole,2032,Right,White,right frontal pole white matter
4033,wm-rh-temporalpole,2033,Right,White,right temporal pole white matter
4034,wm-rh-transversetemporal,2034,Right,White,right transverse temporal white matter
4035,wm-rh-insula,2035,Right,White,right insula white matter
5001,Left-UnsegmentedWhiteMatter,,Left,White,left unsegmented white matter
5002,Right-UnsegmentedWhiteMatter,,Right,White,right unsegmented white matter
