#ParcellationId,Label,asymetry counterpart,Left or Right,White or Grey,Common Name
3009,x1,x2,x3,x4,x5
3010,x1,x2,x3,x4,x5
3011,x1,x2,x3,x4,x5
3012,x1,x2,x3,x4,x5
3013,x1,x2,x3,x4,x5
3014,x1,x2,x3,x4,x5
3015,x1,x2,x3,x4,x5
3016,x1,x2,x3,x4,x5
3017,x1,x2,x3,x4,x5
3018,x1,x2,x3,x4,x5
3019,x1,x2,x3,x4,x5
3020,x1,x2,x3,x4,x5
3021,x1,x2,x3,x4,x5
3022,x1,x2,x3,x4,x5
3023,x1,x2,x3,x4,x5
3024,x1,x2,x3,x4,x5
3025,x1,x2,x3,x4,x5
3026,x1,x2,x3,x4,x5
3027,x1,x2,x3,x4,x5
3028,x1,x2,x3,x4,x5
3029,x1,x2,x3,x4,x5
3030,x1,x2,x3,x4,x5
3031,x1,x2,x3,x4,x5
3032,x1,x2,x3,x4,x5
3033,x1,x2,x3,x4,x5
3034,x1,x2,x3,x4,x5
3035,wm-lh-insula,4035,Left,White Matter,Insula
4001,x1,x2,x3,x4,x5
4002,x1,x2,x3,x4,x5
4003,x1,x2,x3,x4,x5
4005,x1,x2,x3,x4,x5
4006,x1,x2,x3,x4,x5
4007,x1,x2,x3,x4,x5
4008,x1,x2,x3,x4,x5
4009,x1,x2,x3,x4,x5
4010,x1,x2,x3,x4,x5
4011,x1,x2,x3,x4,x5
4012,x1,x2,x3,x4,x5
4013,x1,x2,x3,x4,x5
4014,x1,x2,x3,x4,x5
4015,x1,x2,x3,x4,x5
4016,x1,x2,x3,x4,x5
4017,x1,x2,x3,x4,x5
4018,x1,x2,x3,x4,x5
4019,x1,x2,x3,x4,x5
4020,x1,x2,x3,x4,x5
4021,x1,x2,x3,x4,x5
4022,x1,x2,x3,x4,x5
4023,x1,x2,x3,x4,x5
4024,x1,x2,x3,x4,x5
4025,x1,x2,x3,x4,x5
4026,x1,x2,x3,x4,x5
4027,x1,x2,x3,x4,x5
4028,x1,x2,x3,x4,x5
4029,x1,x2,x3,x4,x5
4030,x1,x2,x3,x4,x5
4031,x1,x2,x3,x4,x5
4032,x1,x2,x3,x4,x5
4033,x1,x2,x3,x4,x5
4034,x1,x2,x3,x4,x5
4035,wm-rh-insula,3035,Right,White Matter,Insula
5001,x1,x2,x3,x4,x5
5002,x1,x2,x3,x4,x5
